id,url,occupation,wikiid
Kuki Ryūichi,https://en.wikipedia.org/wiki/Kuki_Ry%C5%ABichi,politician,http://www.wikidata.org/entity/Q656068
Aya Kamikawa,https://en.wikipedia.org/wiki/Aya_Kamikawa,politician,http://www.wikidata.org/entity/Q153599
Yukiko Kada,https://en.wikipedia.org/wiki/Yukiko_Kada,politician,http://www.wikidata.org/entity/Q152728
Tanaka Giichi,https://en.wikipedia.org/wiki/Tanaka_Giichi,politician,http://www.wikidata.org/entity/Q145416
Toyotomi Hideyoshi,https://en.wikipedia.org/wiki/Toyotomi_Hideyoshi,politician,http://www.wikidata.org/entity/Q187550
Yōhei Kōno,https://en.wikipedia.org/wiki/Y%C5%8Dhei_K%C5%8Dno,politician,http://www.wikidata.org/entity/Q186146
Takehisa Matsubara,https://en.wikipedia.org/wiki/Takehisa_Matsubara,politician,http://www.wikidata.org/entity/Q182927
Antonio Inoki,https://en.wikipedia.org/wiki/Antonio_Inoki,politician,http://www.wikidata.org/entity/Q45207
Toranosuke Katayama,https://en.wikipedia.org/wiki/Toranosuke_Katayama,politician,http://www.wikidata.org/entity/Q188095
Masaaki Kanda,https://en.wikipedia.org/wiki/Masaaki_Kanda,politician,http://www.wikidata.org/entity/Q204939
Kanō Jigorō,https://en.wikipedia.org/wiki/Kan%C5%8D_Jigor%C5%8D,politician,http://www.wikidata.org/entity/Q190141
Zenbee Mizoguchi,https://en.wikipedia.org/wiki/Zenbee_Mizoguchi,politician,http://www.wikidata.org/entity/Q189287
